response,set,alg,Variable,Importance,Stderr,type
range,A,xgb,Air_tmax,0,NA,internal
range,A,rfr,Size_km2,100,NA,internal
range,A,rfr,Elev_m,64.65250400990928,NA,internal
range,A,rfr,Solar_daily,29.669228176513506,NA,internal
range,A,rfr,Water_area_m2_3d,27.04873643648672,NA,internal
range,A,rfr,GWT_range,13.326050131485498,NA,internal
range,A,rfr,GWL_max_7day,12.649080434763583,NA,internal
range,A,rfr,GWT_max_7day,10.817214516676144,NA,internal
range,A,rfr,WL_daily_range,10.173951655575447,NA,internal
range,A,rfr,GWL_range,8.974397438364262,NA,internal
range,A,rfr,WL_max_7day,8.092640309646455,NA,internal
range,A,rfr,Air_trange,0.8220714519545961,NA,internal
range,A,rfr,ppt,0.5354552815378835,NA,internal
range,A,rfr,Air_tmin_3day,0.10148588706163862,NA,internal
range,A,rfr,Air_tmax,0,NA,internal
range,B,xgb,Elev_m,100,NA,internal
range,B,xgb,Size_km2,42.75367962597249,NA,internal
range,B,xgb,Solar_daily,27.981210605730283,NA,internal
range,B,xgb,Air_trange,0.8321907799411326,NA,internal
range,B,xgb,Air_tmin_3day,0.6027088484967597,NA,internal
range,B,xgb,ppt,0.08656177648306754,NA,internal
range,B,xgb,Air_tmax,0,NA,internal
range,B,rfr,Elev_m,100,NA,internal
range,B,rfr,Size_km2,61.25078914347011,NA,internal
range,B,rfr,Solar_daily,20.326636465137536,NA,internal
range,B,rfr,Air_trange,2.787909058622282,NA,internal
range,B,rfr,ppt,2.347932245556263,NA,internal
range,B,rfr,Air_tmax,2.121855891351741,NA,internal
range,B,rfr,Air_tmin_3day,0,NA,internal
max,A,xgb,Solar_2d,1.1467819384102287,0.01920424687056632,permutation
max,A,xgb,WL_max_7day,1.0209161950936712,0.02215113821787949,permutation
max,A,xgb,Air_tmax,0.3996589821519151,0.006357445011846089,permutation
max,A,xgb,Air_tmin,0.5651689462098441,0.013934457007692802,permutation
max,A,xgb,GWT_max_7day,0.334865881843781,0.010558493126537236,permutation
max,A,xgb,GWL_max_7day,0.5440734834061711,0.011371752405475695,permutation
max,A,xgb,ppt,0.06757708249793486,0.0024742217705369246,permutation
max,A,xgb,Air_trange,0.1572847078048013,0.004397348524299582,permutation
max,A,xgb,WL_daily_range,0.5250679175824534,0.02481914902681472,permutation
max,A,xgb,GWT_range,0.13410554440948083,0.003539059210997703,permutation
max,A,xgb,GWL_range,0.18723034722877732,0.00418306881155604,permutation
max,A,xgb,Water_area_m2_3d,0.7074739215691542,0.022113620358927878,permutation
max,A,xgb,Elev_m,1.1732214316828404,0.018782568647082953,permutation
max,A,xgb,Size_km2,2.004481232739665,0.04159671651746753,permutation
max,A,rfr,Solar_2d,1.0071819701849782,0.03090112531477361,permutation
max,A,rfr,WL_max_7day,0.6690149619685016,0.019243045393987912,permutation
max,A,rfr,Air_tmax,0.2641535534065881,0.00973745664476409,permutation
max,A,rfr,Air_tmin,0.3482285653917084,0.011298792212661517,permutation
max,A,rfr,GWT_max_7day,0.3050059175282052,0.011496317855225452,permutation
max,A,rfr,GWL_max_7day,0.4245532766578168,0.015195533621476418,permutation
max,A,rfr,ppt,0.028066684988040026,0.001146854184984249,permutation
max,A,rfr,Air_trange,0.05197767106182288,0.0017549340979019512,permutation
max,A,rfr,WL_daily_range,0.27544302665968934,0.014065883442379959,permutation
max,A,rfr,GWT_range,0.059717184640972885,0.0019606207947814387,permutation
max,A,rfr,GWL_range,0.14716445863306774,0.007296246856882711,permutation
max,A,rfr,Water_area_m2_3d,0.3883079755464817,0.014470001141633462,permutation
max,A,rfr,Elev_m,1.14281847363779,0.028503523466451085,permutation
max,A,rfr,Size_km2,1.7256144232371278,0.04657432933849993,permutation
max,B,xgb,Solar_2d,1.7560958244347618,0.03840179275660228,permutation
max,B,xgb,Air_tmax,0.3392819065104863,0.011134320410998433,permutation
max,B,xgb,Air_tmin,0.4543404853019672,0.010150449805158489,permutation
max,B,xgb,ppt,0.14348879007508636,0.006171125452992523,permutation
max,B,xgb,Air_trange,0.25723063637480126,0.006614337769969898,permutation
max,B,xgb,Elev_m,1.4147366458008088,0.025115679463535732,permutation
max,B,xgb,Size_km2,0.8475240432158542,0.023090354021815612,permutation
max,B,rfr,Solar_2d,1.4819868127366542,0.03508006795053752,permutation
max,B,rfr,Air_tmax,0.3626617746762508,0.008698958183863358,permutation
max,B,rfr,Air_tmin,0.36614431611420495,0.009529532321431356,permutation
max,B,rfr,ppt,0.08821685138171273,0.003938764187188907,permutation
max,B,rfr,Air_trange,0.19083815577560484,0.004688038161122043,permutation
max,B,rfr,Elev_m,1.2892025981708155,0.034371391878763424,permutation
max,B,rfr,Size_km2,0.968494397124114,0.029150246897743485,permutation
mean,A,xgb,Solar_3d,0.8353487104125047,0.019355368373140044,permutation
mean,A,xgb,WL_max_7day,0.913389064002635,0.02493470949615571,permutation
mean,A,xgb,Air_tmax_2day,0.4270947487197006,0.014501625584346527,permutation
mean,A,xgb,Air_tmin,0.5951772622319035,0.01440737657997511,permutation
mean,A,xgb,GWT_max_7day,0.3307559063455809,0.011663458274843608,permutation
mean,A,xgb,GWL_max_7day,0.4449856696343046,0.00909342630361792,permutation
mean,A,xgb,ppt,0.04018803815876965,0.0017897866874096214,permutation
mean,A,xgb,Air_trange,0.12427565846356849,0.0027553259247953656,permutation
mean,A,xgb,WL_daily_range,0.43535915117490837,0.017773870345474153,permutation
mean,A,xgb,GWT_range,0.1591268122219885,0.002943874019959866,permutation
mean,A,xgb,GWL_range,0.1186320752486211,0.0027083238208438446,permutation
mean,A,xgb,Water_area_m2_3d,0.45400412690011166,0.016980164385539075,permutation
mean,A,xgb,Elev_m,1.0314331336149316,0.02279576812362201,permutation
mean,A,xgb,Size_km2,2.0241081793968725,0.03535857255842902,permutation
mean,A,rfr,Solar_3d,0.7677323537252221,0.019384570309882585,permutation
mean,A,rfr,WL_max_7day,0.5976917608763636,0.01889051713777778,permutation
mean,A,rfr,Air_tmax_2day,0.30756041994480615,0.009086314401539031,permutation
mean,A,rfr,Air_tmin,0.42853963662818934,0.017731539329143498,permutation
mean,A,rfr,GWT_max_7day,0.2616105953739699,0.010177053914257049,permutation
mean,A,rfr,GWL_max_7day,0.29085333219310405,0.0077616926636653195,permutation
mean,A,rfr,ppt,0.025609847525166533,0.0012839014233185053,permutation
mean,A,rfr,Air_trange,0.04576877731658159,0.0019069044832360933,permutation
mean,A,rfr,WL_daily_range,0.19422587461137297,0.011695567984604789,permutation
mean,A,rfr,GWT_range,0.08436974428595845,0.0036096599191639466,permutation
mean,A,rfr,GWL_range,0.10625697135572597,0.0069428392529283425,permutation
mean,A,rfr,Water_area_m2_3d,0.25509502350676383,0.009391869037864571,permutation
mean,A,rfr,Elev_m,1.1074834835476166,0.022910043026343075,permutation
mean,A,rfr,Size_km2,1.7227586156457502,0.041760833370189814,permutation
mean,B,xgb,Solar_3d,1.6184397488696323,0.037713332171573515,permutation
mean,B,xgb,Air_tmax_2day,0.5950148666811115,0.013533530976768546,permutation
mean,B,xgb,Air_tmin,0.7134269320591048,0.006972119162891068,permutation
mean,B,xgb,ppt,0.2232003401419352,0.007180724589560517,permutation
mean,B,xgb,Air_trange,0.39316851503860634,0.011169714003629864,permutation
mean,B,xgb,Elev_m,2.4153079725815343,0.04371580152004503,permutation
mean,B,xgb,Size_km2,1.619420853666584,0.030693213553535426,permutation
mean,B,rfr,Solar_3d,1.313958733371196,0.04207402725030875,permutation
mean,B,rfr,Air_tmax_2day,0.5069392329392163,0.0123010701800929,permutation
mean,B,rfr,Air_tmin,0.5231898856178083,0.008909668744702084,permutation
mean,B,rfr,ppt,0.10951514222625781,0.005768018865992638,permutation
mean,B,rfr,Air_trange,0.25617799779192557,0.009980074503169074,permutation
mean,B,rfr,Elev_m,2.189743195403871,0.045341288431605835,permutation
mean,B,rfr,Size_km2,1.5032385369855201,0.033748673666100466,permutation
range,A,xgb,Solar_daily,0.510914588880854,0.02516051519147637,permutation
range,A,xgb,WL_max_7day,0.10213028876817125,0.004242082508292597,permutation
range,A,xgb,Air_tmax,0.02594114773041504,0.0017739990616399987,permutation
range,A,xgb,Air_tmin_3day,0.03794157340994048,0.004032565438763329,permutation
