Site,Metric,Model,Variable,Importance,rho
Sam,Mean WT,RFR,GWL_min,0.302655,-0.57467
Sam,Mean WT,RFR,ppt_7day,0.163696,-0.55404
Sam,Mean WT,RFR,Air_trange,0.122238,0.315475
Sam,Mean WT,XGB,WL_daily_mean,0.394612,-0.70892
Sam,Mean WT,XGB,GWL_min,0.366737,-0.57467
Sam,Mean WT,XGB,Air_trange,0.179794,0.315475
Sam,Mean WT,XGB,ppt_7day,0.147339,-0.55404
Sam,Range WT,GLS,WL_daily_min,0.236067,-0.15902
Sam,Range WT,GLS,GWL_min_7day,0.188163,0.319427
Sam,Range WT,GLS,WL_daily_range,0.103644,0.45235
Sam,Range WT,GLS,Solar_daily,0.088173,0.631945
Sam,Range WT,GLS,Air_tmax,0.00646,0.351366
Sam,Range WT,GLS,GWL_range,0.002943,0.286834
Sam,Range WT,GLS,ppt,-8.21e-5,-0.49557
Sam,Range WT,RFR,Solar_daily,0.286864,0.631945
Sam,Range WT,RFR,WL_daily_range,0.158458,0.45235
Sam,Range WT,RFR,GWL_range,0.141328,0.286834
Sam,Range WT,RFR,GWL_min_7day,0.13285,0.319427
Sam,Range WT,RFR,WL_daily_min,0.110353,-0.15902
Sam,Range WT,RFR,Air_tmax,0.051854,0.351366
Sam,Range WT,RFR,ppt,0.045375,-0.49557
Sam,Range WT,XGB,Solar_daily,0.294072,0.631945
Sam,Range WT,XGB,GWL_range,0.171472,0.286834
Sam,Range WT,XGB,WL_daily_range,0.168056,0.45235
Sam,Range WT,XGB,GWL_min_7day,0.166152,0.319427
Sam,Range WT,XGB,WL_daily_min,0.160339,-0.15902
Sam,Range WT,XGB,Air_tmax,0.063972,0.351366
Sam,Range WT,XGB,ppt,0.033646,-0.49557
