response,set,alg,ar1_phi,term,estimate,std.error,df,statistic,p.value
range,A,lme,0.7649647680962878,Water_area_m2_3d,-1.8899862057528022e-6,2.3366795361722287e-5,1067,-0.08088341496963826,0.9355498379270606
range,A,lme,0.7649647680962878,Elev_m,4.181873768454035e-4,0.004966112735314161,2,0.08420819243020035,0.9405610934820683
range,A,lme,0.7649647680962878,Size_km2,-14.255769278367977,14.975391459278601,2,-0.951946352596696,0.44159462995909216
range,B,lme,0.6593307160605096,(Intercept),-4.925983486131916,2.822595969978213,1492,-1.7451961026394927,0.08115660675177917
range,B,lme,0.6593307160605096,Solar_daily,0.10659636427982114,0.004983302345972742,1492,21.390707783557833,9.27304437141789e-89
range,B,lme,0.6593307160605096,Air_tmin_3day,-0.034331858549594224,0.01402953755647453,1492,-2.4471126301486907,0.01451524209124285
range,B,lme,0.6593307160605096,ppt,-0.026546503378205657,0.007109090201206867,1492,-3.7341632511146106,1.9542463495645182e-4
range,B,lme,0.6593307160605096,Air_trange,8.070449095349531e-4,0.006596414904339127,1492,0.1223459896381106,0.9026414876347686
range,B,lme,0.6593307160605096,Elev_m,0.0071249054394816914,0.0027874733957380512,4,2.556044283821837,0.06290109115192187
range,B,lme,0.6593307160605096,Size_km2,-27.97374045812591,11.000403558464475,4,-2.542974019948656,0.0637791579897666
