response,set,alg,RMSE,MAE,R2,NSE
max,A,lme,1.8000700586727372,1.3800400466647595,0.5939228216721183,0.5382263164734684
max,B,lme,1.6042539099139796,1.27091161008785,0.6424275350808828,0.6241747244045961
mean,A,lme,1.7804136780805546,1.3852351521658657,0.6245606858233874,0.48352671172346307
mean,B,lme,1.4283448725855359,1.0945573040177645,0.7799435393830643,0.7458311180051381
range,A,lme,0.8639532457043596,0.6425060270204314,0.6663125038740301,0.6655940453300936
range,B,lme,1.1068424799468217,0.8289016010766346,0.7960628178224572,0.7954647717574204
