response,set,alg,Variable,Importance,Stderr,type
range,A,xgb,GWT_range,0,NA,internal
range,A,rfr,Size_km2,100,NA,internal
range,A,rfr,Elev_m,46.38407012789346,NA,internal
range,A,rfr,GWL_max_7day,36.08444123576478,NA,internal
range,A,rfr,Solar_daily,27.35459654004905,NA,internal
range,A,rfr,Water_area_m2_3d,22.334070141483174,NA,internal
range,A,rfr,WL_daily_max,14.43367630692104,NA,internal
range,A,rfr,WL_daily_range,11.4355390805638,NA,internal
range,A,rfr,GWL_range,10.048492655333476,NA,internal
range,A,rfr,GWT_max_7day,7.96878671634963,NA,internal
range,A,rfr,GWT_range,1.200530014842722,NA,internal
range,A,rfr,Air_trange,0.7997085709927896,NA,internal
range,A,rfr,ppt,0.40128380731973445,NA,internal
range,A,rfr,Air_tmin_3day,0.04241806967980403,NA,internal
range,A,rfr,Air_tmax,0,NA,internal
range,B,xgb,Elev_m,100,NA,internal
range,B,xgb,Size_km2,42.75367962597249,NA,internal
range,B,xgb,Solar_daily,27.981210605730283,NA,internal
range,B,xgb,Air_trange,0.8321907799411326,NA,internal
range,B,xgb,Air_tmin_3day,0.6027088484967597,NA,internal
range,B,xgb,ppt,0.08656177648306754,NA,internal
range,B,xgb,Air_tmax,0,NA,internal
range,B,rfr,Elev_m,100,NA,internal
range,B,rfr,Size_km2,61.25078914347011,NA,internal
range,B,rfr,Solar_daily,20.326636465137536,NA,internal
range,B,rfr,Air_trange,2.787909058622282,NA,internal
range,B,rfr,ppt,2.347932245556263,NA,internal
range,B,rfr,Air_tmax,2.121855891351741,NA,internal
range,B,rfr,Air_tmin_3day,0,NA,internal
max,A,xgb,Solar_2d,0.8253714685691292,0.015655620364481367,permutation
max,A,xgb,WL_max_7day,0.9818565220110275,0.017883677212504483,permutation
max,A,xgb,Air_tmean,0.5655953063946582,0.015922642116038815,permutation
max,A,xgb,Air_tmin,0.31335529355430697,0.00782478668861536,permutation
max,A,xgb,GWT_max,0.34172321581507226,0.0087146230417581,permutation
max,A,xgb,GWL_mean_7day,1.882482630779573,0.028687843068759798,permutation
max,A,xgb,ppt,0.03821625368340081,0.002824672628884555,permutation
max,A,xgb,Air_trange,0.1561706970879885,0.006523956966740689,permutation
max,A,xgb,WL_daily_range,0.4568003977417944,0.022188154730544123,permutation
max,A,xgb,GWT_range,0.12089875289862916,0.005756710556269814,permutation
max,A,xgb,GWL_range,0.19221190421163853,0.006077443750484347,permutation
max,A,xgb,Water_area_m2_3d,0.5236408069787171,0.0114136437312533,permutation
max,A,xgb,Elev_m,0.33660077987817355,0.011050628184799835,permutation
max,A,xgb,Size_km2,0.5420601481796714,0.01047846110500936,permutation
max,A,rfr,Solar_2d,0.6815224703775153,0.018416321240663364,permutation
max,A,rfr,WL_max_7day,0.7236400706137951,0.017517948449393556,permutation
max,A,rfr,Air_tmean,0.3534873663432466,0.011640404779726814,permutation
max,A,rfr,Air_tmin,0.27252887184391467,0.008765559682390204,permutation
max,A,rfr,GWT_max,0.3099066237292248,0.013043985441978271,permutation
max,A,rfr,GWL_mean_7day,1.1660536503747192,0.0180907773223113,permutation
max,A,rfr,ppt,0.05818792930561596,0.002480098731031025,permutation
max,A,rfr,Air_trange,0.101577037426468,0.004294513047417411,permutation
max,A,rfr,WL_daily_range,0.2916476662208247,0.013554015698774466,permutation
max,A,rfr,GWT_range,0.057640901755972994,0.002419208987664226,permutation
max,A,rfr,GWL_range,0.20796862829030133,0.009578037971583466,permutation
max,A,rfr,Water_area_m2_3d,0.4067669970895689,0.007800262644049138,permutation
max,A,rfr,Elev_m,0.6136167192035977,0.015689439166274407,permutation
max,A,rfr,Size_km2,0.6374798668985214,0.021479561432582756,permutation
max,B,xgb,Solar_2d,1.837199842034673,0.03646762287640767,permutation
