response,set,alg,RMSE,MAE,R2,NSE
max,A,lme,1.7579689041052662,1.3126676220363271,0.6052777837099719,0.5595742119646845
max,B,lme,1.6042539144515804,1.2709116121227688,0.6424275357845445,0.6241747222785673
mean,A,lme,1.7963784303062813,1.4125380925471822,0.5610308756298727,0.4742228788162166
mean,B,lme,1.4283448730510202,1.0945573048345236,0.7799435393431784,0.7458311178394755
range,A,lme,0.8558357671124113,0.6453377213907562,0.672646595697734,0.6718485056723064
range,B,lme,1.1068424799786583,0.8289016010799157,0.7960628178132337,0.7954647717456541
