Site,Metric,Set,Model,source,Variable,Importance,Stderr,nsim,type,kind
Anvil,max,B,XGB,orig,Air_tmin_7day,1.3617827800903186,0.07554878190355517,20,permutation,permutation
Anvil,max,B,XGB,orig,Air_trange,0.7076402249359095,0.028358291960446754,20,permutation,permutation
Anvil,max,B,XGB,orig,Air_trange,0.6897643498384893,NA,20,cpi,cpi
Anvil,max,B,XGB,orig,ppt,0.1415888435177126,0.016292415906157334,20,permutation,permutation
Anvil,max,B,XGB,orig,ppt,0.1402696668733347,NA,20,cpi,cpi
Anvil,mean,A,GLS,gls,GWT_min_7day,0.5781188962226664,0.054686974893572146,20,permutation,permutation
Anvil,mean,A,GLS,gls,GWT_min_7day,0.5689810381532805,NA,20,cpi,cpi
Anvil,mean,A,GLS,gls,Air_tmin,0.20136657093315585,0.029837142073000526,20,permutation,permutation
Anvil,mean,A,GLS,gls,Air_tmin,0.18920060971559238,NA,20,cpi,cpi
Anvil,mean,A,GLS,gls,GWL_max_7day,0.12254831908036234,NA,20,cpi,cpi
Anvil,mean,A,GLS,gls,GWL_max_7day,0.1213815198818897,0.01461707704709991,20,permutation,permutation
Anvil,mean,A,GLS,gls,Air_trange,0.0776749985078572,NA,20,cpi,cpi
Anvil,mean,A,GLS,gls,Air_trange,0.07662127598814931,0.012905903030581672,20,permutation,permutation
Anvil,mean,A,GLS,gls,ppt,0.020831856915953118,0.006705364569595176,20,permutation,permutation
Anvil,mean,A,GLS,gls,GWL_range,0.020760241400080592,NA,20,cpi,cpi
Anvil,mean,A,GLS,gls,GWL_range,0.018848577110062603,0.003659276751600206,20,permutation,permutation
Anvil,mean,A,GLS,gls,ppt,0.01827137965985537,NA,20,cpi,cpi
Anvil,mean,A,GLS,gls,GWT_range,-7.622680693636363e-4,NA,20,cpi,cpi
Anvil,mean,A,GLS,gls,GWT_range,-0.0012748652925367089,0.0016741100894701497,20,permutation,permutation
Anvil,mean,A,RFR,orig,GWL_max_7day,1.3749174802538469,0.051090117689411914,20,permutation,permutation
Anvil,mean,A,RFR,orig,GWL_max_7day,1.3487208016261871,NA,20,cpi,cpi
Anvil,mean,A,RFR,orig,Solar_3d,0.6957620297673832,0.03527156523201194,20,permutation,permutation
Anvil,mean,A,RFR,orig,Solar_3d,0.6820502844104954,NA,20,cpi,cpi
Anvil,mean,A,RFR,orig,GWT_min_7day,0.6802088647549985,0.028936024794496265,20,permutation,permutation
Anvil,mean,A,RFR,orig,GWT_min_7day,0.675243617571212,NA,20,cpi,cpi
Anvil,mean,A,RFR,orig,Air_tmin,0.46565054874130674,NA,20,cpi,cpi
Anvil,mean,A,RFR,orig,Air_tmin,0.454667460072508,0.02380017870796999,20,permutation,permutation
Anvil,mean,A,RFR,orig,GWL_range,0.36866733524098105,NA,20,cpi,cpi
Anvil,mean,A,RFR,orig,GWL_range,0.36769286217156927,0.022817473165378018,20,permutation,permutation
Anvil,mean,A,RFR,orig,ppt,0.11532565865929895,NA,20,cpi,cpi
Anvil,mean,A,RFR,orig,Air_trange,0.1141024077678981,NA,20,cpi,cpi
Anvil,mean,A,RFR,orig,Air_trange,0.11379792807102455,0.007026104885194761,20,permutation,permutation
Anvil,mean,A,RFR,orig,ppt,0.10752801489247271,0.013030706153227108,20,permutation,permutation
Anvil,mean,A,RFR,orig,GWT_range,0.09698650626772001,NA,20,cpi,cpi
Anvil,mean,A,RFR,orig,GWT_range,0.09678577088030975,0.010384561825338277,20,permutation,permutation
Anvil,mean,A,XGB,orig,GWL_max_7day,1.7152656155289718,NA,20,cpi,cpi
Anvil,mean,A,XGB,orig,GWL_max_7day,1.7128895549400487,0.08202832924637413,20,permutation,permutation
Anvil,mean,A,XGB,orig,GWT_min_7day,1.2346038562897896,0.05256303702222596,20,permutation,permutation
Anvil,mean,A,XGB,orig,GWT_min_7day,1.2192969318457145,NA,20,cpi,cpi
Anvil,mean,A,XGB,orig,Air_tmin,0.7275386033889094,NA,20,cpi,cpi
Anvil,mean,A,XGB,orig,Air_tmin,0.7188390951965821,0.030627039699963342,20,permutation,permutation
Anvil,mean,A,XGB,orig,Solar_3d,0.6464943232190531,NA,20,cpi,cpi
Anvil,mean,A,XGB,orig,Solar_3d,0.6464300570266591,0.028559859150882612,20,permutation,permutation
Anvil,mean,A,XGB,orig,GWL_range,0.6318909732335066,NA,20,cpi,cpi
Anvil,mean,A,XGB,orig,GWL_range,0.6208297814391935,0.04357769192242962,20,permutation,permutation
Anvil,mean,A,XGB,orig,Air_trange,0.22938007418343945,0.013641195400084226,20,permutation,permutation
Anvil,mean,A,XGB,orig,Air_trange,0.2285287633187538,NA,20,cpi,cpi
Anvil,mean,A,XGB,orig,ppt,0.19585529755115305,NA,20,cpi,cpi
Anvil,mean,A,XGB,orig,ppt,0.19422627609998963,0.009418686670187705,20,permutation,permutation
Anvil,mean,A,XGB,orig,GWT_range,0.1886616971819816,NA,20,cpi,cpi
Anvil,mean,A,XGB,orig,GWT_range,0.18624018187210847,0.010597449276584991,20,permutation,permutation
Anvil,mean,B,GLS,gls,Solar_3d,0.27789824622231185,NA,20,cpi,cpi
Anvil,mean,B,GLS,gls,Solar_3d,0.2770144514254427,0.018250033246659046,20,permutation,permutation
Anvil,mean,B,GLS,gls,Air_tmin,0.06573994350275805,0.028270664090382938,20,permutation,permutation
Anvil,mean,B,GLS,gls,Air_tmin,0.03635894620472946,NA,20,cpi,cpi
Anvil,mean,B,GLS,gls,Air_trange,0.024730817754986513,0.009448218419053056,20,permutation,permutation
Anvil,mean,B,GLS,gls,Air_trange,0.023223299314427126,NA,20,cpi,cpi
Anvil,mean,B,GLS,gls,ppt,0.0016694973156616832,NA,20,cpi,cpi
Anvil,mean,B,GLS,gls,ppt,2.553147641769282e-4,0.004247651271740988,20,permutation,permutation
Anvil,mean,B,RFR,orig,Solar_3d,1.9001457358319187,0.08461586111239072,20,permutation,permutation
Anvil,mean,B,RFR,orig,Solar_3d,1.8958566814007023,NA,20,cpi,cpi
Anvil,mean,B,RFR,orig,Air_tmin,0.517455927229121,NA,20,cpi,cpi
