Site,Metric,Set,Model,source,Variable,Importance,Stderr,nsim,type
Butte,mean,B,XGB,pass2,ppt_7day,0.04723327465573329,NA,20,cpi
Butte,range,A,GLS,gls,Solar_daily,0.5530556897476626,NA,20,cpi
Butte,range,A,GLS,gls,WL_daily_range,0.2102076826950784,NA,20,cpi
Butte,range,A,GLS,gls,GWT_min_7day,0.03155955841566327,NA,20,cpi
Butte,range,A,GLS,gls,Air_trange,0.027744108159457437,NA,20,cpi
Butte,range,A,GLS,gls,ppt,0.02269477646603074,NA,20,cpi
Butte,range,A,GLS,gls,Air_tmin_7day,0.018392045819031033,NA,20,cpi
Butte,range,A,GLS,gls,WL_max_7day,0.017131764446509434,NA,20,cpi
Butte,range,A,GLS,gls,GWT_range,0.0010018526194638944,NA,20,cpi
Butte,range,A,RFR,orig,Solar_daily,0.8430931831539502,NA,20,cpi
Butte,range,A,RFR,orig,WL_daily_range,0.31356055727989346,NA,20,cpi
Butte,range,A,RFR,orig,GWT_min_7day,0.2356886211420507,NA,20,cpi
Butte,range,A,RFR,orig,WL_daily_min,0.0703784059987734,NA,20,cpi
Butte,range,A,RFR,orig,WL_max_7day,0.0690146553182604,NA,20,cpi
Butte,range,A,RFR,orig,Air_trange,0.06581731283305414,NA,20,cpi
Butte,range,A,RFR,orig,ppt,0.05947764414423351,NA,20,cpi
Butte,range,A,RFR,orig,Air_tmin_7day,0.047998924101549184,NA,20,cpi
Butte,range,A,RFR,orig,GWT_range,0.008467446652521166,NA,20,cpi
Butte,range,A,XGB,pass2,Solar_daily,0.6413742189002846,NA,20,cpi
Butte,range,A,XGB,pass2,WL_daily_range,0.2614802696562758,NA,20,cpi
Butte,range,A,XGB,pass2,GWT_min_7day,0.1422040951019083,NA,20,cpi
Butte,range,A,XGB,pass2,WL_max_7day,0.06104816423287909,NA,20,cpi
Butte,range,A,XGB,pass2,Air_trange,0.04828106976647198,NA,20,cpi
Butte,range,A,XGB,pass2,ppt,0.027265838694539385,NA,20,cpi
Butte,range,A,XGB,pass2,WL_daily_min,0.023892217916623187,NA,20,cpi
Butte,range,A,XGB,pass2,Air_tmin_7day,0.02256034403956983,NA,20,cpi
Butte,range,A,XGB,pass2,GWT_range,0,NA,20,cpi
Butte,range,B,GLS,gls,Solar_daily,0.7402988681892565,NA,20,cpi
Butte,range,B,GLS,gls,Air_tmin_7day,0.11006906561590069,NA,20,cpi
Butte,range,B,GLS,gls,Air_trange,0.060227667958589304,NA,20,cpi
Butte,range,B,GLS,gls,ppt,0.01574370023628774,NA,20,cpi
Butte,range,B,RFR,pass2,Solar_daily,0.8135372666755484,NA,20,cpi
Butte,range,B,RFR,pass2,Air_trange,0.1335336810654436,NA,20,cpi
Butte,range,B,RFR,pass2,Air_tmin_7day,0.13314101025096964,NA,20,cpi
Butte,range,B,RFR,pass2,ppt,0.10288075477614783,NA,20,cpi
Butte,range,B,XGB,orig,Solar_daily,0.9874854222587869,NA,20,cpi
Butte,range,B,XGB,orig,Air_tmin_7day,0.21640762877668296,NA,20,cpi
Butte,range,B,XGB,orig,Air_trange,0.1531356266903514,NA,20,cpi
Butte,range,B,XGB,orig,ppt,0.09562556801564531,NA,20,cpi
Cooper,max,A,GLS,gls,Solar_daily,0.35347697123000543,NA,20,cpi
Cooper,max,A,GLS,gls,Air_tmin_3day,0.09938821131399544,NA,20,cpi
Cooper,max,A,GLS,gls,ppt_7day,0.017235924114807677,NA,20,cpi
Cooper,max,A,GLS,gls,Air_trange,-8.497715910512627e-4,NA,20,cpi
Cooper,max,A,RFR,pass2,Solar_daily,1.0831627825993309,NA,20,cpi
Cooper,max,A,RFR,pass2,Air_tmin_3day,0.6425999049587404,NA,20,cpi
Cooper,max,A,RFR,pass2,Air_trange,0.28000185196253113,NA,20,cpi
Cooper,max,A,RFR,pass2,ppt_7day,0.26355401306335313,NA,20,cpi
Cooper,max,A,XGB,orig,Solar_daily,1.0451975243516491,NA,20,cpi
Cooper,max,A,XGB,orig,Air_tmin_3day,0.5591726745562612,NA,20,cpi
Cooper,max,A,XGB,orig,Air_trange,0.26262820926129665,NA,20,cpi
Cooper,max,A,XGB,orig,ppt_7day,0.24086375378141245,NA,20,cpi
Cooper,max,B,GLS,gls,Solar_daily,0.3718607378674227,NA,20,cpi
Cooper,max,B,GLS,gls,Air_tmin_3day,0.08606643174652584,NA,20,cpi
Cooper,max,B,GLS,gls,ppt_7day,0.019311869722651864,NA,20,cpi
Cooper,max,B,GLS,gls,Air_trange,-7.46582136827878e-4,NA,20,cpi
Cooper,max,B,RFR,pass2,Solar_daily,1.079718938439937,NA,20,cpi
Cooper,max,B,RFR,pass2,Air_tmin_3day,0.6491107278936563,NA,20,cpi
Cooper,max,B,RFR,pass2,Air_trange,0.28639886925737357,NA,20,cpi
Cooper,max,B,RFR,pass2,ppt_7day,0.2602752341463549,NA,20,cpi
Cooper,max,B,XGB,orig,Solar_daily,1.0425338432919942,NA,20,cpi
Cooper,max,B,XGB,orig,Air_tmin_3day,0.5609561410764935,NA,20,cpi
Cooper,max,B,XGB,orig,Air_trange,0.24786076738371887,NA,20,cpi
Cooper,max,B,XGB,orig,ppt_7day,0.2386537770088652,NA,20,cpi
Cooper,mean,A,GLS,gls,Air_tmin_3day,0.1836154643277081,NA,20,cpi
Cooper,mean,A,GLS,gls,Solar_daily,0.02071581442788578,NA,20,cpi
Cooper,mean,A,GLS,gls,ppt_7day,0.0034771471408209242,NA,20,cpi
Cooper,mean,A,GLS,gls,Air_trange,-0.003372097474478697,NA,20,cpi
Cooper,mean,A,RFR,pass2,Air_tmin_3day,0.6154007648559681,NA,20,cpi
Cooper,mean,A,RFR,pass2,Solar_daily,0.40031866843620584,NA,20,cpi
Cooper,mean,A,RFR,pass2,ppt_7day,0.1340158664151961,NA,20,cpi
Cooper,mean,A,RFR,pass2,Air_trange,0.09670335093910809,NA,20,cpi
Cooper,mean,A,XGB,pass2,Air_tmin_3day,0.5190178139113988,NA,20,cpi
Cooper,mean,A,XGB,pass2,Solar_daily,0.31911847765266627,NA,20,cpi
Cooper,mean,A,XGB,pass2,ppt_7day,0.08045580103600886,NA,20,cpi
Cooper,mean,A,XGB,pass2,Air_trange,0.050471483707838244,NA,20,cpi
Cooper,mean,B,GLS,gls,Air_tmin_3day,0.17983421026415486,NA,20,cpi
Cooper,mean,B,GLS,gls,Solar_daily,0.01196875129872954,NA,20,cpi
Cooper,mean,B,GLS,gls,ppt_7day,0.0028897193954029454,NA,20,cpi
Cooper,mean,B,GLS,gls,Air_trange,-0.0014889134046292551,NA,20,cpi
