Site,Metric,Set,alg,RMSE,MAE,R2,NSE,k,n_oof,n_pred_init,n_pred_kept,ar1_phi
Anvil,max,A,gls_ar1,1.8299058999275635,1.3256391562860421,0.5934326765674532,0.5510833699600322,5,244,8,7,0.9228815448693942
Anvil,max,B,gls_ar1,2.346765384335572,1.8695188879466853,0.2935704361910582,0.2616750809237567,5,244,4,4,0.9510444871843732
Anvil,mean,A,gls_ar1,1.4567807419772563,1.173268428627812,0.6041941180662855,0.5057170138834408,5,244,8,7,0.9644329119051515
Anvil,mean,B,gls_ar1,1.796183148612245,1.5058291010602838,0.2774028516067506,0.24857002787236648,5,244,4,4,0.9741136620423788
Anvil,range,A,gls_ar1,1.1936767282182859,0.978311482570405,0.43930912650075593,0.4385697130471543,5,244,8,8,0.7850156965181466
Anvil,range,B,gls_ar1,1.350411583253709,1.0949778423899286,0.29809364737860117,0.2814538075787264,5,244,4,4,0.8173763841203474
Butte,max,A,gls_ar1,0.8011947716745711,0.633865393974697,0.8057167246191705,0.7956250829645475,5,244,9,8,0.5412313650633469
Butte,max,B,gls_ar1,0.7285882147970496,0.5851245308717802,0.8413031728397886,0.8309887301803487,5,244,4,4,0.5260908090873779
Butte,mean,A,gls_ar1,0.8055118541018539,0.6573236015816745,0.7767782691876282,0.7073340435333065,5,244,10,9,0.8606450730120001
Butte,mean,B,gls_ar1,0.794615962331344,0.6632728566990356,0.8058706960327823,0.7151980849315289,5,244,5,4,0.863298592705504
Butte,range,A,gls_ar1,0.5731442042244996,0.4437855840005844,0.780469084413267,0.780300961281448,5,244,9,8,0.24626630768595892
Butte,range,B,gls_ar1,0.6553754672775284,0.5071856087259954,0.7130964247253528,0.7127363282224908,5,244,4,4,0.24928155843234284
Cooper,max,A,gls_ar1,1.4791597600612019,1.2192438508131842,0.2638782225006348,0.15075781865783333,5,199,4,4,0.7965689106457713
Cooper,max,B,gls_ar1,1.4791597600612019,1.2192438508131842,0.2638782225006348,0.15075781865783333,5,199,4,4,0.7965689106457713
Cooper,mean,A,gls_ar1,0.6960080502287185,0.5831810441206529,0.3271826411006577,0.3061201761333112,5,199,4,4,0.8684842735013824
Cooper,mean,B,gls_ar1,0.6960080502287185,0.5831810441206529,0.3271826411006577,0.3061201761333112,5,199,4,4,0.8684842735013824
Cooper,range,A,gls_ar1,1.4571507521786973,1.1957061906706905,0.25761437712420854,0.13007720175211335,5,199,5,5,0.7017350728208097
Cooper,range,B,gls_ar1,1.4571507521786973,1.1957061906706905,0.25761437712420854,0.13007720175211335,5,199,5,5,0.7017350728208097
Crater,max,A,gls_ar1,2.1095295377308414,1.6847206435833944,0.4990572643126583,0.1844478111011847,5,236,8,7,0.9891343798758075
Crater,max,B,gls_ar1,2.436119598145857,1.966484380373028,0.4968985957883287,0.0011638588024294183,5,244,4,4,0.9921343073543686
Crater,mean,A,gls_ar1,2.161474646217735,1.731113173147988,0.514427857872818,0.14276866528519994,5,236,8,7,0.992502709639302
Crater,mean,B,gls_ar1,2.862513365054344,2.329786796248907,0.29532434484419406,-0.3870832005284761,5,244,4,4,0.9936619654064931
Crater,range,A,gls_ar1,0.3562711502517483,0.2860613840336397,0.2420108624087253,0.19438857569405776,5,236,8,8,0.7919127667267796
Crater,range,B,gls_ar1,0.3606326082771292,0.2901190463609996,0.16105354796551474,0.1606485682228479,5,244,4,4,0.7694924620934173
Hideaway,max,A,gls_ar1,1.0992246188597103,0.8227189878144919,0.7575387577411402,0.7562257197539446,5,199,9,8,0.3199948665743166
Hideaway,max,B,gls_ar1,1.1079277379734789,0.8529650159398842,0.7906884162216001,0.7881127360657344,5,206,4,4,0.3978117815857421
Hideaway,mean,A,gls_ar1,0.44373870360680645,0.3447911054750648,0.8728038687324144,0.8712480253598853,5,199,9,8,0.4687594122103627
Hideaway,mean,B,gls_ar1,0.4769663872143777,0.3760299233949688,0.8711177543753015,0.8679157040584976,5,206,4,4,0.583652322190482
Hideaway,range,A,gls_ar1,1.0880566273323382,0.8317931704899123,0.7252745831478555,0.7248236704143579,5,199,10,9,0.04184638926426477
Hideaway,range,B,gls_ar1,1.1230955713324515,0.8792239092308439,0.7477590938436611,0.7461328866360231,5,206,5,4,0.15801272412002082
Pint,max,A,gls_ar1,0.6755913300087607,0.5562153116300372,0.8041272540477424,0.7320296355608165,5,122,10,8,0.9788595661144698
Pint,max,B,gls_ar1,0.6844276449551433,0.5674799576432995,0.7910805644803098,0.7249740220012217,5,122,4,4,0.9552020881498601
Pint,mean,A,gls_ar1,0.7735876227647789,0.6332277425190306,0.7976998162863228,0.684453823296248,5,122,10,8,0.9831380565485174
Pint,mean,B,gls_ar1,0.8002140154833827,0.6910931683653937,0.7679735128041961,0.6623582016997311,5,122,4,4,0.9734942720242328
Pint,range,A,gls_ar1,0.3067702939702609,0.20270996758865403,0.17751341768561846,0.1313658875763566,5,122,10,9,0.5829707399158295
Pint,range,B,gls_ar1,0.36295490271657904,0.2316759361393929,0.01927656921109296,-0.2159497000654167,5,122,4,4,0.5937534703927076
Sam,max,A,gls_ar1,0.5828953545132908,0.4652523179596389,0.5484898311243722,0.5417234773538286,5,244,8,8,0.8021537839208848
Sam,max,B,gls_ar1,0.7662037373410413,0.6085809506404847,0.22754616389565652,0.20816452838290012,5,244,3,3,0.8797967517876258
Sam,mean,A,gls_ar1,0.63043531940716,0.5185008156915989,0.4619726436500829,0.2021065007881877,5,244,8,8,0.9335046931173346
Sam,mean,B,gls_ar1,0.6913446514147175,0.5380388142158383,0.09973823730849253,0.04048212598666301,5,244,3,3,0.9216233207578786
Sam,range,A,gls_ar1,0.35030910988819997,0.2716458550487334,0.6522979438239107,0.6512244415223788,5,244,9,9,0.31615943077008557
Sam,range,B,gls_ar1,0.4175425672209688,0.3351263550642223,0.505053488084109,0.50449881872518,5,244,4,4,0.32815273380058685
